iter	MultiClass
0	1.864167321
1	1.802600713
2	1.745956213
3	1.695202797
4	1.652700851
5	1.606553428
6	1.563514191
7	1.529092055
8	1.497144718
9	1.467091469
10	1.440856099
11	1.410539535
12	1.386678418
13	1.366114693
14	1.343806527
15	1.322871276
16	1.307101058
17	1.290266045
18	1.273344087
19	1.257792776
20	1.242343885
21	1.227835693
22	1.215661594
23	1.202923808
24	1.190750187
25	1.177522175
26	1.166638646
27	1.157672746
28	1.149187307
29	1.139836909
30	1.130405159
31	1.121810229
32	1.113044221
33	1.103591306
34	1.095410745
35	1.086776607
36	1.077843686
37	1.070204377
38	1.062260151
39	1.056798602
40	1.050559396
41	1.044297955
42	1.037022647
43	1.031323916
44	1.026155001
45	1.021534429
46	1.015687331
47	1.01003606
48	1.004909219
49	0.9998863141
50	0.9947069117
51	0.9896924626
52	0.9856880072
53	0.9818308896
54	0.9771780448
55	0.9725514199
56	0.9679855123
57	0.9630268626
58	0.959384025
59	0.9544849927
60	0.9509188719
61	0.9476492178
62	0.9434369342
63	0.9395680027
64	0.936706124
65	0.9326329215
66	0.9289320878
67	0.9261617572
68	0.9232293171
69	0.9203090319
70	0.9168208845
71	0.9132621075
72	0.9106335868
73	0.9075864322
74	0.9043423134
75	0.9005714703
76	0.897940666
77	0.8950149823
78	0.8917952794
79	0.8896156597
80	0.8862221229
81	0.8838628101
82	0.8819269002
83	0.8790914214
84	0.8755027972
85	0.8728807508
86	0.8691612592
87	0.8654772268
88	0.8634292449
89	0.8609909244
90	0.8584851015
91	0.8560430769
92	0.8540011147
93	0.8512116978
94	0.8477231651
95	0.8453478758
96	0.8428994718
97	0.8404961741
98	0.8376702226
99	0.8350134468
100	0.8324789871
101	0.8309851692
102	0.8286270741
103	0.8263380932
104	0.8246117965
105	0.8225506861
106	0.8201145246
107	0.8179716395
108	0.816640313
109	0.8145441146
110	0.8125675584
111	0.8104677727
112	0.8080085638
113	0.8055946398
114	0.8035830265
115	0.8013298963
116	0.7996668708
117	0.7975504441
118	0.7944424121
119	0.7925345725
120	0.7905079739
121	0.788362808
122	0.786819604
123	0.7849854396
124	0.7822632055
125	0.7806792484
126	0.778434613
127	0.7762461708
128	0.7731640424
129	0.7707234241
130	0.768442654
131	0.7667351668
132	0.764647553
133	0.7629693793
134	0.7603769765
135	0.758789599
136	0.7560210647
137	0.7533951944
138	0.7504686357
139	0.7492332456
140	0.7478372943
141	0.7463234777
142	0.7432417346
143	0.7407749281
144	0.7396780762
145	0.7377167262
146	0.7360248181
147	0.7343274529
148	0.7323543732
149	0.7305548893
150	0.729099654
151	0.7278129298
152	0.7260125619
153	0.7240556374
154	0.7221333343
155	0.7214806467
156	0.7194797301
157	0.7188718058
158	0.7169728799
159	0.7158642909
160	0.713492745
161	0.7119359776
162	0.7099619029
163	0.7080566192
164	0.7065859812
165	0.7050371044
166	0.7025921114
167	0.700720602
168	0.6988898873
169	0.6974199771
170	0.6957476879
171	0.6935378755
172	0.6921518371
173	0.6900322841
174	0.6886478945
175	0.6857183259
176	0.6837707368
177	0.6817739861
178	0.6800457071
179	0.678555882
180	0.676320697
181	0.6738855852
182	0.6720233749
183	0.6699367626
184	0.6681795705
185	0.6671660628
186	0.665528836
187	0.6635969624
188	0.6624469674
189	0.6612242636
190	0.6594829647
191	0.6578180481
192	0.656175775
193	0.6544804368
194	0.6532787486
195	0.6513935815
196	0.6489169194
197	0.647074559
198	0.6458243676
199	0.6435917337
200	0.6420625871
201	0.6397858543
202	0.6386656719
203	0.6376378684
204	0.6361121809
205	0.6344036785
206	0.6330288806
207	0.6315831348
208	0.6292716943
209	0.6272359214
210	0.6260792334
211	0.6247414843
212	0.6229071729
213	0.6209518752
214	0.6192253882
215	0.6177041484
216	0.6164443936
217	0.6157910362
218	0.6144585856
219	0.6131084938
220	0.6120221902
221	0.6101861691
222	0.6086678407
223	0.6067208344
224	0.6057758733
225	0.6048641619
226	0.602623443
227	0.6014799823
228	0.5989581274
229	0.5975731789
230	0.5954955371
231	0.5942772875
232	0.5920365162
233	0.5912525427
234	0.5892402191
235	0.5879694991
236	0.5865671218
237	0.5852643679
238	0.5839683526
239	0.5829714505
240	0.5814778512
241	0.5802583345
242	0.5789251122
243	0.577438029
244	0.5763419347
245	0.5754574764
246	0.5743270958
247	0.5731705643
248	0.572430008
249	0.571243739
250	0.5700248907
251	0.5685972937
252	0.5671707685
253	0.566014209
254	0.5648981456
255	0.563935296
256	0.5623185522
257	0.5614803352
258	0.5596500898
259	0.5585746471
260	0.5576753161
261	0.5567950392
262	0.556108585
263	0.5547815399
264	0.5540981141
265	0.5536542184
266	0.5517076842
267	0.5506426316
268	0.5489642331
269	0.5480224683
270	0.5468782789
271	0.5448544543
272	0.5438699137
273	0.5431601718
274	0.5418059153
275	0.5402013178
276	0.538445891
277	0.5368466956
