iter	Passed	Remaining
0	157	78384
1	161	40199
2	164	27302
3	168	20869
4	171	16991
5	175	14408
6	178	12555
7	181	11179
8	185	10134
9	189	9271
10	193	8592
11	197	8013
12	200	7521
13	204	7092
14	207	6718
15	211	6388
16	214	6098
17	218	5838
18	221	5605
19	224	5396
20	228	5205
21	231	5039
22	235	4886
23	239	4741
24	242	4615
25	246	4491
26	249	4375
27	253	4268
28	256	4168
29	260	4073
30	263	3987
31	267	3905
32	270	3828
33	274	3763
34	278	3695
35	281	3628
36	284	3566
37	288	3511
38	292	3455
39	296	3407
40	300	3359
41	303	3312
42	307	3262
43	310	3217
44	313	3172
45	317	3131
46	320	3090
47	323	3050
48	327	3014
49	331	2980
50	334	2947
51	338	2913
52	341	2881
53	345	2850
54	348	2821
55	352	2793
56	355	2765
57	359	2736
58	362	2712
59	366	2686
60	369	2661
61	373	2635
62	376	2612
63	380	2590
64	384	2570
65	388	2552
66	392	2536
67	397	2523
68	401	2506
69	406	2499
70	411	2486
71	415	2469
72	419	2453
73	424	2442
74	428	2427
75	432	2412
76	437	2401
77	441	2390
78	445	2376
79	449	2361
80	453	2347
81	457	2333
82	461	2317
83	464	2301
84	468	2285
85	471	2271
86	475	2257
87	479	2243
88	483	2231
89	487	2219
90	490	2205
91	494	2191
92	497	2177
93	501	2166
94	505	2155
95	509	2142
96	512	2129
97	516	2120
98	520	2107
99	523	2094
100	527	2082
101	530	2070
102	534	2059
103	538	2049
104	541	2038
105	545	2028
106	549	2017
107	553	2007
108	556	1997
109	560	1988
110	565	1980
111	568	1970
112	572	1960
113	576	1952
114	581	1945
115	584	1935
116	588	1926
117	592	1917
118	596	1909
119	600	1900
120	604	1894
121	608	1885
122	612	1876
123	616	1868
124	619	1859
125	623	1850
126	627	1841
127	630	1833
128	634	1825
129	638	1817
130	642	1809
131	646	1802
132	650	1794
133	653	1786
134	658	1779
135	661	1770
136	665	1762
137	669	1756
138	672	1747
139	676	1739
140	680	1732
141	684	1724
142	688	1718
143	692	1711
144	697	1707
145	701	1700
146	705	1693
147	709	1687
148	713	1681
149	717	1674
150	721	1667
151	725	1661
152	729	1654
153	733	1647
154	736	1639
155	740	1632
156	744	1626
157	748	1620
158	752	1614
159	757	1610
160	761	1604
161	765	1597
162	769	1591
163	774	1585
164	778	1579
165	781	1572
166	785	1566
167	790	1561
168	793	1554
169	797	1548
170	802	1544
171	806	1537
172	810	1531
173	813	1524
174	817	1518
175	821	1512
176	825	1506
177	828	1499
178	832	1492
179	835	1486
180	839	1479
181	843	1473
182	846	1467
183	850	1460
184	854	1454
185	857	1447
186	861	1441
187	864	1435
188	868	1428
189	871	1422
190	875	1415
191	878	1409
192	882	1403
193	885	1397
194	889	1390
195	893	1385
196	896	1379
197	900	1373
198	903	1366
199	907	1361
200	910	1354
201	914	1349
202	918	1343
203	922	1338
204	925	1332
205	929	1326
206	932	1320
207	936	1314
208	939	1308
209	943	1303
210	946	1296
211	950	1290
212	953	1285
213	957	1279
214	961	1274
215	964	1268
216	968	1262
217	972	1257
218	975	1251
219	979	1246
220	982	1240
221	986	1234
222	989	1229
223	993	1223
224	996	1218
225	1000	1213
226	1004	1207
227	1007	1202
228	1011	1197
229	1015	1191
230	1018	1186
231	1021	1180
232	1025	1175
233	1028	1169
234	1032	1163
235	1035	1158
236	1039	1153
237	1042	1147
238	1046	1142
239	1049	1137
240	1053	1131
241	1056	1126
242	1060	1121
243	1063	1116
244	1067	1110
245	1070	1105
246	1074	1100
247	1077	1095
248	1081	1089
249	1084	1084
250	1088	1079
251	1092	1074
252	1095	1069
253	1099	1064
254	1103	1059
255	1106	1055
256	1110	1050
257	1114	1045
258	1118	1040
259	1121	1035
260	1125	1030
261	1128	1025
262	1132	1020
263	1136	1016
264	1140	1011
265	1144	1007
266	1148	1002
267	1151	997
268	1155	992
269	1159	987
270	1163	982
271	1166	977
272	1170	973
273	1174	968
274	1177	963
275	1181	958
276	1185	954
277	1189	949
278	1192	944
279	1196	939
280	1200	935
281	1203	930
282	1206	925
283	1210	920
284	1214	915
285	1217	911
286	1221	906
287	1224	901
288	1228	897
289	1233	892
290	1236	888
291	1240	883
292	1244	878
293	1248	874
294	1252	870
295	1256	865
296	1260	861
297	1264	857
298	1269	853
299	1274	849
300	1279	846
301	1284	842
302	1289	838
303	1299	838
304	1308	836
305	1316	834
306	1325	833
307	1331	830
308	1337	827
309	1342	822
310	1347	818
311	1356	817
312	1361	813
313	1366	809
314	1371	805
315	1376	801
316	1381	797
317	1385	793
318	1390	789
319	1396	785
320	1401	781
321	1405	777
322	1410	772
323	1431	777
324	1436	773
325	1441	769
326	1445	764
327	1449	760
328	1452	755
329	1456	750
330	1460	745
331	1464	741
332	1470	737
333	1474	733
334	1478	728
335	1482	723
336	1487	719
337	1492	715
338	1495	710
339	1500	706
340	1505	701
341	1509	697
342	1514	693
343	1519	689
344	1523	684
345	1527	679
346	1531	675
347	1536	671
348	1540	666
349	1544	661
350	1549	657
351	1552	652
352	1557	648
353	1561	643
354	1565	639
355	1568	634
356	1572	630
357	1577	625
358	1581	621
359	1585	616
360	1589	612
361	1593	607
362	1597	602
363	1601	598
364	1605	593
365	1609	589
366	1612	584
367	1616	579
368	1620	575
369	1624	570
370	1627	566
371	1631	561
372	1635	556
373	1639	552
374	1643	547
375	1646	543
376	1650	538
377	1654	534
378	1658	529
379	1661	524
380	1665	520
381	1669	515
382	1672	510
383	1676	506
384	1680	501
385	1684	497
386	1688	493
387	1692	488
388	1696	484
389	1700	479
390	1704	475
391	1708	470
392	1712	466
393	1716	461
394	1720	457
395	1724	452
396	1728	448
397	1732	444
398	1736	439
399	1739	434
400	1744	430
401	1748	426
402	1751	421
403	1755	417
404	1759	412
405	1763	408
406	1766	403
407	1770	399
408	1775	394
409	1778	390
410	1782	386
411	1786	381
412	1790	377
413	1794	372
414	1797	368
415	1801	363
416	1805	359
417	1809	354
418	1813	350
419	1818	346
420	1822	341
421	1826	337
422	1830	333
423	1835	328
424	1838	324
425	1843	320
426	1847	315
427	1851	311
428	1855	307
429	1859	302
430	1863	298
431	1866	293
432	1870	289
433	1874	285
434	1878	280
435	1882	276
436	1886	271
437	1889	267
438	1893	263
439	1897	258
440	1901	254
441	1905	250
442	1909	245
443	1913	241
444	1917	237
445	1921	232
446	1925	228
447	1928	223
448	1932	219
449	1936	215
450	1940	210
451	1943	206
452	1947	202
453	1951	197
454	1955	193
455	1959	189
456	1962	184
457	1966	180
458	1970	176
459	1975	171
460	1979	167
461	1984	163
462	1988	158
463	1992	154
464	1996	150
465	2000	145
466	2003	141
467	2007	137
468	2011	132
469	2014	128
470	2018	124
471	2021	119
472	2024	115
473	2028	111
474	2032	106
475	2036	102
476	2039	98
477	2043	94
478	2047	89
479	2050	85
480	2054	81
481	2058	76
482	2061	72
483	2065	68
484	2068	63
485	2072	59
486	2075	55
487	2079	51
488	2082	46
489	2086	42
490	2089	38
491	2093	34
492	2096	29
493	2100	25
494	2104	21
495	2107	16
496	2111	12
497	2114	8
498	2118	4
499	2122	0
